Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
ZHO,2.0,SOFT,1.0,4.0,,0 days 00:27:47.283000,4,Q
ZHO,2.0,SOFT,2.0,5.0,,,4,Q
ZHO,2.0,SOFT,3.0,6.0,0 days 00:33:12.491000,,4,Q
VER,1.0,MEDIUM,1.0,1.0,0 days 01:04:49.856000,,4,R
VER,2.0,MEDIUM,2.0,2.0,,0 days 01:31:05.329000,4,R
VER,2.0,MEDIUM,3.0,3.0,,,4,R
VER,2.0,MEDIUM,4.0,4.0,,,4,R
VER,2.0,MEDIUM,5.0,5.0,,,4,R
VER,2.0,MEDIUM,6.0,6.0,,,4,R
VER,2.0,MEDIUM,7.0,7.0,,,4,R
VER,2.0,MEDIUM,8.0,8.0,,,4,R
VER,2.0,MEDIUM,9.0,9.0,,,4,R
VER,2.0,MEDIUM,10.0,10.0,,,4,R
VER,2.0,MEDIUM,11.0,11.0,,,4,R
VER,2.0,MEDIUM,12.0,12.0,,,4,R
VER,2.0,MEDIUM,13.0,13.0,,,4,R
VER,2.0,MEDIUM,14.0,14.0,,,4,R
VER,2.0,MEDIUM,15.0,15.0,,,4,R
VER,2.0,MEDIUM,16.0,16.0,0 days 01:57:22.319000,,4,R
VER,3.0,MEDIUM,1.0,17.0,,0 days 01:57:45.444000,4,R
VER,3.0,MEDIUM,2.0,18.0,,,4,R
VER,3.0,MEDIUM,3.0,19.0,,,4,R
VER,3.0,MEDIUM,4.0,20.0,,,4,R
VER,3.0,MEDIUM,5.0,21.0,,,4,R
VER,3.0,MEDIUM,6.0,22.0,,,4,R
VER,3.0,MEDIUM,7.0,23.0,,,4,R
VER,3.0,MEDIUM,8.0,24.0,,,4,R
VER,3.0,MEDIUM,9.0,25.0,,,4,R
VER,3.0,MEDIUM,10.0,26.0,,,4,R
VER,3.0,MEDIUM,11.0,27.0,,,4,R
VER,3.0,MEDIUM,12.0,28.0,,,4,R
VER,3.0,MEDIUM,13.0,29.0,,,4,R
VER,3.0,MEDIUM,14.0,30.0,,,4,R
VER,3.0,MEDIUM,15.0,31.0,,,4,R
VER,3.0,MEDIUM,16.0,32.0,,,4,R
VER,3.0,MEDIUM,17.0,33.0,,,4,R
VER,3.0,MEDIUM,18.0,34.0,0 days 02:26:42.429000,,4,R
VER,4.0,HARD,1.0,35.0,,0 days 02:27:05.581000,4,R
VER,4.0,HARD,2.0,36.0,,,4,R
VER,4.0,HARD,3.0,37.0,,,4,R
VER,4.0,HARD,4.0,38.0,,,4,R
VER,4.0,HARD,5.0,39.0,,,4,R
VER,4.0,HARD,6.0,40.0,,,4,R
VER,4.0,HARD,7.0,41.0,,,4,R
VER,4.0,HARD,8.0,42.0,,,4,R
VER,4.0,HARD,9.0,43.0,,,4,R
VER,4.0,HARD,10.0,44.0,,,4,R
VER,4.0,HARD,11.0,45.0,,,4,R
VER,4.0,HARD,12.0,46.0,,,4,R
VER,4.0,HARD,13.0,47.0,,,4,R
VER,4.0,HARD,14.0,48.0,,,4,R
